Headline,Time,Summary
Python Tutorial: Sets – Set Methods and Operations to Solve Common Problems,"June 20, 2018","In this Python Programming Tutorial, we will be looking at the Set data structure in-depth and discovering how it can help us solve some common problems. The set can not only solve certain problems more quickly but is also more efficient in many cases."
Python Flask Tutorials – Full Series,"June 20, 2018","In this Python Flask Tutorial, we will be learning how to get started using the Flask framework. We will install the necessary packages and get a basic Hello World Application running in our browser."
Linux/Mac Terminal Tutorial: The Grep Command – Search Files and Directories for Patterns of Text,"March 29, 2018","In this Linux/Mac terminal tutorial, we will be learning how to use the grep command. The grep command allows us to search files and directories for patterns of text. You can also pipe the output of one command into grep to get certain matches. It’s extremely useful once you learn the ins and outs. Let’s get started…"
How to Run Linux/Bash on Windows 10 Using the Built-In Windows Subsystem for Linux,"March 29, 2018","In this video, we will be learning how to run Linux on Windows using the new Windows Subsystem for Linux that comes with Windows 10. This is an excellent way to run Bash on a Windows machine. It allows you to use all of the Bash commands we are used to using on Linux within a Windows system. We will be showing how to enable and install Linux on Windows and also go over a quick overview to see how this works. Let’s get started…"
Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Windows),"March 29, 2018","In this Python Programming Tutorial, we will be learning how to hide passwords and secret information within environment variables on Windows machines. Hard-coding secret information is a common mistake that beginners make when learning Python. Hiding this information within environment variables allows you to access your secret information within your code without anyone else being able to see these values from your source code. Let’s get started…"
Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Mac & Linux),"March 29, 2018","In this Python Programming Tutorial, we will be learning how to hide passwords and secret information within environment variables on Mac and Linux machines. Hard-coding secret information is a common mistake that beginners make when learning Python. Hiding this information within environment variables allows you to access your secret information within your code without anyone else being able to see these values from your source code. Let’s get started…"
"Python Tutorial: Calculate Number of Days, Weeks, or Months to Reach Specific Goals","March 29, 2018","In this Python Programming Tutorial, we will be writing three different scripts to estimate how long it will take to reach certain goals. Our first script will calculate how many months it will take us to pay off a credit card. Our second script will calculate how many weeks it will take to lose a certain amount of weight. And our third script will estimate how long it will take to reach a certain number of subscribers. Let’s get started…"
Python Tutorial: Context Managers – Efficiently Managing Resources,"December 22, 2017","In this Python Programming Tutorial, we will be learning how to use context managers to properly manage resources. Context Managers are great for when we need to setup or teardown some resources during use. So these can be used for: open and closing files, opening and closing database connections, acquiring and releasing locks, and much much more. Let’s get started…"
Channel Update: Look Back on the Year and Big Plans for 2018,"December 18, 2017","In this Channel Update, we will be looking back on 2017 and what we’ve done this year. We will also be looking forward to 2018 and discussing the future plans for this channel. This year was the best year for this channel yet and I can’t thank you all enough. I have plenty planned for the future and I look forward to putting out great tutorials next year!"
Python Tutorial: Working with JSON Data using the json Module,"December 6, 2017","In this Python Programming Tutorial, we will be learning how to work with JSON data. We will learn how to load JSON into Python objects from strings and how to convert Python objects into JSON strings. We will also see how to load JSON from a file and save those Python objects back to files. Let’s get started…"
