city,city_code,age,sex,2013,2014,2015,2016
Derby,E06000015,20,All,4200,3761,3838,3919
Derby,E06000015,20,Female,2072,1838,1818,1752
Derby,E06000015,20,Male,2128,1923,2020,2167
Derby,E06000015,21,All,4026,4152,3722,3785
Derby,E06000015,21,Female,1965,2006,1775,1733
Derby,E06000015,21,Male,2061,2146,1947,2052
Derby,E06000015,22,All,4159,3885,3982,3633
Derby,E06000015,22,Female,1977,1878,1921,1742
Derby,E06000015,22,Male,2182,2007,2061,1891
Derby,E06000015,23,All,4041,3977,3856,3880
Derby,E06000015,23,Female,1940,1859,1870,1863
Derby,E06000015,23,Male,2101,2118,1986,2017
Derby,E06000015,24,All,4027,3946,3913,3816
Derby,E06000015,24,Female,1953,1923,1818,1857
Derby,E06000015,24,Male,2074,2023,2095,1959
Derby,E06000015,25,All,3780,4018,3971,3999
Derby,E06000015,25,Female,1880,1964,1955,1856
Derby,E06000015,25,Male,1900,2054,2016,2143
London,E12000007,20,All,93305,92954,93368,94072
London,E12000007,20,Female,46624,45464,45581,45408
London,E12000007,20,Male,46681,47490,47787,48664
London,E12000007,21,All,102113,99027,100402,99975
London,E12000007,21,Female,51728,49639,49104,48812
London,E12000007,21,Male,50385,49388,51298,51163
London,E12000007,22,All,116919,112518,111538,111121
London,E12000007,22,Female,59163,57635,56457,54838
London,E12000007,22,Male,57756,54883,55081,56283
London,E12000007,23,All,131452,129915,126530,125397
London,E12000007,23,Female,67249,66676,65458,63892
London,E12000007,23,Male,64203,63239,61072,61505
London,E12000007,24,All,144272,142457,142568,138567
London,E12000007,24,Female,74343,73205,73453,71395
London,E12000007,24,Male,69929,69252,69115,67172
London,E12000007,25,All,157113,153400,152686,151826
London,E12000007,25,Female,81157,79015,78158,77611
London,E12000007,25,Male,75956,74385,74528,74215
Swansea,W06000011,20,All,1972,1999,4436,4993
Swansea,W06000011,20,Female,968,966,2019,2181
Swansea,W06000011,20,Male,1004,1033,2417,2812
Swansea,W06000011,21,All,2055,1930,4595,4447
Swansea,W06000011,21,Female,1058,953,1999,1985
Swansea,W06000011,21,Male,997,977,2596,2462
Swansea,W06000011,22,All,2206,2092,4235,4370
Swansea,W06000011,22,Female,1101,1081,1906,1893
Swansea,W06000011,22,Male,1105,1011,2329,2477
Swansea,W06000011,23,All,2084,2209,4033,4034
Swansea,W06000011,23,Female,967,1084,1785,1824
Swansea,W06000011,23,Male,1117,1125,2248,2210
Swansea,W06000011,24,All,2110,2067,3785,3866
Swansea,W06000011,24,Female,1048,970,1723,1716
Swansea,W06000011,24,Male,1062,1097,2062,2150
Swansea,W06000011,25,All,2230,2116,3801,3732
Swansea,W06000011,25,Female,1149,1042,1749,1720
Swansea,W06000011,25,Male,1081,1074,2052,2012
